"AccSpeciesName","LfArea_Uncert","LfArea_WholeLf","LfArea_Lflt","SLA","Lf_Life","N_Area","N_Dry","P_Area","P_Dry","VcM_Area","VcM_Dry"
"Persicaria minor",316,NA,410.188380952381,42.0884285714286,NA,NA,NA,NA,NA,NA,NA
"Persicaria decipiens",NA,1548.98125,NA,27.5901004222515,NA,0.919630623370241,24.27,NA,NA,NA,NA
"Persicaria hydropiper",3162,2632.6,1964.46683636364,29.0163177226814,NA,0.638573058232374,23.516893863678,NA,NA,NA,NA
"Persicaria lapathifolia",3162,8000,6619.5715,22.1757069326676,NA,1.82,15.54,NA,NA,NA,NA
"Persicaria amphibia",3162,675,1715.64545454545,17.2746895390909,NA,NA,NA,NA,NA,NA,NA
"Persicaria thunbergii",NA,NA,NA,41.8672862218182,NA,0.973346000002012,40.9,NA,NA,NA,NA
"Persicaria sagittata",NA,3537.683,3537.683,57.808807997851,NA,0.599243151233771,21.31099152565,NA,NA,NA,NA
"Persicaria punctata",NA,NA,NA,27.9558011049862,NA,NA,36.79,NA,3,NA,NA
"Bistorta affinis",NA,524,524,26.2506373663177,NA,NA,NA,NA,NA,NA,NA
"Bistorta macrophylla",NA,NA,NA,18.4978963266667,NA,2.36712326521163,29.3972222216667,0.0725294869527819,1.296836276,NA,NA
"Bistorta officinalis",3162,6010.50752777778,12770.5,22.1385097396451,3.6,2.21606151573664,32.0735857184852,0.235923561197786,1.76,52.3341666666666,0.282201115516474
"Bistorta amplexicaulis",NA,NA,NA,21.068376076188,NA,1.84585302232153,38.1527025760342,NA,NA,NA,NA
"Bistorta vivipara",323.858333333333,456.140215816571,617.772435587762,15.7853369042368,1.64798573397453,1.92499799305094,28.2029274572549,0.094346898480836,2.08313203565217,28.8051919190099,0.470339969666667
"Koenigia islandica",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Koenigia divaricata",1054.16666666667,NA,174.531666666667,13.8164731278816,6,1.69174034932207,23.7198816717526,0.12880757429343,1.60292729196138,NA,NA
"Koenigia polystachya",3162,NA,NA,37.748,NA,NA,NA,NA,NA,NA,NA
"Atraphaxis bracteata",108.25,NA,26.68,NA,6,NA,NA,NA,NA,NA,NA
"Atraphaxis pungens",NA,NA,NA,8.7527352298,NA,NA,19.8,NA,1.09,NA,NA
"Atraphaxis manshurica",912.5,NA,4002,NA,6,NA,NA,NA,NA,NA,NA
"Atraphaxis frutescens",137.5,NA,NA,5.97987951789818,NA,1.13461274732738,8.66105705850256,NA,1.09,NA,NA
"Polygonum rurivagum",32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Polygonum aviculare",197,258.07,544.083333333333,20.8168077827644,NA,1.36470422929305,29.524313575,NA,2.34318181818182,NA,NA
"Fallopia sachalinensis",31623,NA,51200,25.4048981224524,NA,1.58683749999721,40.5,NA,NA,NA,NA
"Fallopia convolvulus",3162,1451.83333333334,638.833333333333,34.3641321258803,NA,0.314066919042701,17.405,NA,NA,NA,NA
"Fallopia dumetorum",3162,NA,1793.19442857143,27.7607142857143,NA,NA,NA,NA,NA,NA,NA
"Fallopia scandens",NA,NA,NA,25.8416681426142,NA,NA,16.13,NA,NA,NA,NA
"Muehlenbeckia australis",NA,714.432248888889,715.011396190476,39.6300766334919,NA,NA,NA,NA,NA,NA,NA
"Muehlenbeckia complexa",32,128.39573,128.39573,38.8470643284713,NA,NA,NA,NA,NA,NA,NA
"Muehlenbeckia axillaris",NA,60.791,60.791,20.5356154915822,NA,NA,NA,NA,NA,NA,NA
"Rheum nobile",NA,NA,NA,16.5214636618657,NA,2.22612795048656,34.9020025272684,NA,NA,NA,NA
"Rheum acuminatum",NA,NA,NA,26.7666544915746,NA,1.85467830338292,48.1803771831773,NA,NA,NA,NA
"Rheum tanguticum",NA,NA,NA,11.5035,NA,2.68389097563559,30.78,NA,NA,NA,NA
"Oxyria digyna",316,167,8433.5,23.5194471176409,1.28904109589041,1.9816966088136,38.025,NA,3.6,NA,NA
"Rumex acetosa",1435.97804878049,3474.08238730159,1070.50661538462,28.8735215490156,NA,1.56143616808278,27.6455780443025,0.127196467213442,3.43635615919823,NA,NA
"Rumex crispus",17392.5,81609.2375,43949.61875,20.9519806158611,NA,NA,25.3042,NA,2.2,NA,NA
"Rumex acetosella",316,294.611317593011,189.563688888889,23.1821346515777,3.24,1.22703328722092,30.8089520896456,0.126476087578573,3.08760203101975,NA,NA
"Rumex obtusifolius",17392.5,35006.25,22767.5175,27.1349544001343,NA,1.41928872078535,38.6912374598586,0.164365872390622,4.138255138,NA,NA
"Rumex conglomeratus",3162,NA,4190,22,NA,NA,NA,NA,NA,NA,NA
"Rumex verticillatus",NA,NA,NA,15.3697888067582,NA,1.18944,15.68,NA,NA,NA,NA
"Rumex longifolius",31623,NA,NA,30.4335,NA,NA,NA,NA,NA,NA,NA
"Calligonum roborowskii",NA,NA,NA,NA,NA,NA,NA,NA,1.323333333325,NA,NA
"Calligonum mongolicum",NA,NA,NA,2.36,NA,5.87,20.8266666666667,NA,1.71,NA,NA
"Calligonum rubicundum",NA,NA,NA,3.56687521920241,NA,1.63848354053564,18.2570665258221,NA,1.256666666675,NA,NA
"Calligonum leucocladum",NA,NA,NA,NA,NA,NA,24.1,NA,1.41125,NA,NA
"Coccoloba mollis",32250,28281.8833711777,45730.3472600666,18.4103424029879,NA,1.61545955858364,25.4484573333333,0.0767407504774404,0.9306,NA,NA
"Coccoloba densifrons",9500,9083.14145824267,8613.79072912133,14.9510924510202,NA,1.38887586702183,20.1178806666667,0.0725726118524363,0.943326810966667,37.53,0.529968898305084
"Coccoloba swartzii",NA,675,675,5.2826201796,NA,NA,NA,NA,NA,NA,NA
"Eriogonum longifolium",NA,NA,NA,9.757359098,NA,NA,NA,NA,NA,NA,NA
"Triplaris americana",55000,22519.138470287,22519.138470287,20.383299389002,NA,1.27588235196079,26,NA,NA,NA,NA
"Triplaris poeppigiana",55000,27830.5075,27830.5075,21.004156604,NA,1.56113480861,32.79032,0.0955468413627145,2.006880819,NA,NA
"Drosera anglica",316,NA,92.247,28.9613333333333,NA,NA,NA,NA,NA,NA,NA
"Drosera rotundifolia",32,32,66.8866666666667,40.8325692099922,2.5,0.302163643064422,12.3022275948636,NA,1.8,NA,NA
"Drosera peltata",NA,16,16,NA,NA,NA,NA,NA,NA,NA,NA
"Drosera spatulata",NA,26.795128,23.482019,34.5165808431507,NA,NA,NA,NA,NA,NA,NA
"Ancistrocladus tectorius",NA,NA,NA,14.545,NA,0.0862839463733242,1.255,0.00756273633551048,0.11,NA,NA
